county area,county code,county polish name,latitude,longitude
92527.00000000000,1017,powiat wieluński,18.581780,51.232688
53937.00000000000,1802,powiat brzozowski,22.094260,49.727741
62480.00000000000,1603,powiat kędzierzyńsko-kozielski,18.161250,50.293848
10173.00000000000,2061,powiat Białystok,23.147032,53.127612
68052.00000000000,3029,powiat wolsztyński,16.100318,52.087911
109307.00000000000,3216,powiat świdwiński,15.882353,53.807466
177580.00000000000,2816,powiat piski,21.822212,53.680788
1321.00000000000,2476,powiat Świętochłowice,18.906168,50.297868
8002.00000000000,2478,powiat Zabrze,18.781577,50.314389
8881.00000000000,2862,powiat Olsztyn,20.477676,53.776444
16214.00000000000,2464,powiat Częstochowa,19.124506,50.809683
102485.00000000000,0220,powiat trzebnicki,17.049823,51.371906
70419.00000000000,0218,powiat średzki,16.629979,51.126200
5699.00000000000,0462,powiat Grudziądz,18.761894,53.472512
96581.00000000000,1205,powiat gorlicki,21.166805,49.591356
64495.00000000000,1218,powiat wadowicki,19.534713,49.894458
92640.00000000000,2612,powiat staszowski,21.306249,50.517393
53006.00000000000,1204,powiat dąbrowski,20.946184,50.230908
180773.00000000000,3002,powiat czarnkowsko-trzcianecki,16.372976,52.928848
141119.00000000000,1216,powiat tarnowski,20.957655,49.985463
64945.00000000000,1201,powiat bocheński,20.431661,49.960435
128498.00000000000,1403,powiat garwoliński,21.653067,51.826560
125558.00000000000,2602,powiat jędrzejowski,20.296336,50.656863
54271.00000000000,2411,powiat raciborski,18.200076,50.086968
157861.00000000000,3010,powiat koniński,18.408092,52.259495
78275.00000000000,1812,powiat niżański,22.268806,50.464116
297869.00000000000,2002,powiat białostocki,23.556637,53.117329
130789.00000000000,2012,powiat suwalski,22.813541,54.166610
83856.00000000000,0225,powiat zgorzelecki,15.076740,51.163025
14778.00000000000,2473,powiat Rybnik,18.553187,50.110569
52389.00000000000,0215,powiat oławski,17.285228,50.960503
30016.00000000000,3262,powiat Szczecin,14.592868,53.429806
157068.00000000000,0809,powiat zielonogórski,15.763403,51.975738
57138.00000000000,1610,powiat prudnicki,17.663437,50.409845
3053.00000000000,0664,powiat Zamość,23.259657,50.721480
71368.00000000000,3012,powiat krotoszyński,17.440451,51.697779
104019.00000000000,1007,powiat opoczyński,20.278008,51.379729
